PositionId,ShiftType,DayOfWeek,Month,IsWeekend,Label
C4CFCA11-7C08-4ADB-9611-08DD17656FFB,3,5,1,False,0
C4CFCA11-7C08-4ADB-9611-08DD17656FFB,4,5,1,False,1
C4CFCA11-7C08-4ADB-9611-08DD17656FFB,5,5,1,False,0
C4CFCA11-7C08-4ADB-9611-08DD17656FFB,6,5,1,False,0
C4CFCA11-7C08-4ADB-9611-08DD17656FFB,7,5,1,False,0
C4CFCA11-7C08-4ADB-9611-08DD17656FFB,8,5,1,False,0
C4CFCA11-7C08-4ADB-9611-08DD17656FFB,9,5,1,False,0
C4CFCA11-7C08-4ADB-9611-08DD17656FFB,10,5,1,False,1
C4CFCA11-7C08-4ADB-9611-08DD17656FFB,11,5,1,False,0
C4CFCA11-7C08-4ADB-9611-08DD17656FFB,12,5,1,False,0
C4CFCA11-7C08-4ADB-9611-08DD17656FFB,13,5,1,False,0
C4CFCA11-7C08-4ADB-9611-08DD17656FFB,14,5,1,False,0
C4CFCA11-7C08-4ADB-9611-08DD17656FFB,15,5,1,False,0
C4CFCA11-7C08-4ADB-9611-08DD17656FFB,16,5,1,False,0
C4CFCA11-7C08-4ADB-9611-08DD17656FFB,17,5,1,False,0
C4CFCA11-7C08-4ADB-9611-08DD17656FFB,18,5,1,False,0
C4CFCA11-7C08-4ADB-9611-08DD17656FFB,19,5,1,False,0
C4CFCA11-7C08-4ADB-9611-08DD17656FFB,20,5,1,False,0
C4CFCA11-7C08-4ADB-9611-08DD17656FFB,21,5,1,False,0
C4CFCA11-7C08-4ADB-9611-08DD17656FFB,22,5,1,False,0
81BA61FE-FBE1-4943-9609-08DD17656FFB,1,6,1,True,0
81BA61FE-FBE1-4943-9609-08DD17656FFB,2,6,1,True,0
81BA61FE-FBE1-4943-9609-08DD17656FFB,3,6,1,True,0
81BA61FE-FBE1-4943-9609-08DD17656FFB,4,6,1,True,1
81BA61FE-FBE1-4943-9609-08DD17656FFB,5,6,1,True,0
81BA61FE-FBE1-4943-9609-08DD17656FFB,6,6,1,True,0
81BA61FE-FBE1-4943-9609-08DD17656FFB,7,6,1,True,0
81BA61FE-FBE1-4943-9609-08DD17656FFB,8,6,1,True,0
81BA61FE-FBE1-4943-9609-08DD17656FFB,9,6,1,True,0
81BA61FE-FBE1-4943-9609-08DD17656FFB,10,6,1,True,0
81BA61FE-FBE1-4943-9609-08DD17656FFB,11,6,1,True,0
81BA61FE-FBE1-4943-9609-08DD17656FFB,12,6,1,True,0
81BA61FE-FBE1-4943-9609-08DD17656FFB,13,6,1,True,1
81BA61FE-FBE1-4943-9609-08DD17656FFB,14,6,1,True,0
81BA61FE-FBE1-4943-9609-08DD17656FFB,15,6,1,True,0
81BA61FE-FBE1-4943-9609-08DD17656FFB,16,6,1,True,0
81BA61FE-FBE1-4943-9609-08DD17656FFB,17,6,1,True,0
81BA61FE-FBE1-4943-9609-08DD17656FFB,18,6,1,True,0
81BA61FE-FBE1-4943-9609-08DD17656FFB,19,6,1,True,0
81BA61FE-FBE1-4943-9609-08DD17656FFB,20,6,1,True,0
81BA61FE-FBE1-4943-9609-08DD17656FFB,21,6,1,True,0
81BA61FE-FBE1-4943-9609-08DD17656FFB,22,6,1,True,0
567502D3-D217-4968-5A05-08DD6E503AEC,1,5,1,False,0
567502D3-D217-4968-5A05-08DD6E503AEC,2,5,1,False,0
567502D3-D217-4968-5A05-08DD6E503AEC,3,5,1,False,0
567502D3-D217-4968-5A05-08DD6E503AEC,4,5,1,False,0
567502D3-D217-4968-5A05-08DD6E503AEC,5,5,1,False,0
567502D3-D217-4968-5A05-08DD6E503AEC,6,5,1,False,1
567502D3-D217-4968-5A05-08DD6E503AEC,7,5,1,False,0
567502D3-D217-4968-5A05-08DD6E503AEC,8,5,1,False,0
567502D3-D217-4968-5A05-08DD6E503AEC,9,5,1,False,0
567502D3-D217-4968-5A05-08DD6E503AEC,10,5,1,False,0
567502D3-D217-4968-5A05-08DD6E503AEC,11,5,1,False,1
567502D3-D217-4968-5A05-08DD6E503AEC,12,5,1,False,0
567502D3-D217-4968-5A05-08DD6E503AEC,13,5,1,False,0
567502D3-D217-4968-5A05-08DD6E503AEC,14,5,1,False,0
567502D3-D217-4968-5A05-08DD6E503AEC,15,5,1,False,0
567502D3-D217-4968-5A05-08DD6E503AEC,16,5,1,False,0
567502D3-D217-4968-5A05-08DD6E503AEC,17,5,1,False,0
567502D3-D217-4968-5A05-08DD6E503AEC,18,5,1,False,0
567502D3-D217-4968-5A05-08DD6E503AEC,19,5,1,False,0
567502D3-D217-4968-5A05-08DD6E503AEC,20,5,1,False,0
567502D3-D217-4968-5A05-08DD6E503AEC,21,5,1,False,0
567502D3-D217-4968-5A05-08DD6E503AEC,22,5,1,False,0
4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,1,2,1,False,0
4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,2,2,1,False,0
4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,3,2,1,False,0
4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,4,2,1,False,0
4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,5,2,1,False,0
4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,6,2,1,False,1
4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,7,2,1,False,0
4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,8,2,1,False,0
4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,9,2,1,False,0
4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,10,2,1,False,0
4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,11,2,1,False,1
4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,12,2,1,False,0
4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,13,2,1,False,0
4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,14,2,1,False,0
4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,15,2,1,False,0
4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,16,2,1,False,0
4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,17,2,1,False,0
4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,18,2,1,False,0
4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,19,2,1,False,0
4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,20,2,1,False,0
4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,21,2,1,False,0
4E1C2EA5-666C-4EBE-5A04-08DD6E503AEC,22,2,1,False,0
B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,1,1,1,False,0
B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,2,1,1,False,0
B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,3,1,1,False,0
B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,4,1,1,False,1
B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,5,1,1,False,0
B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,6,1,1,False,0
B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,7,1,1,False,0
B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,8,1,1,False,0
B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,9,1,1,False,0
B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,10,1,1,False,0
B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,11,1,1,False,0
B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,12,1,1,False,0
B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,13,1,1,False,0
B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,14,1,1,False,0
B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,15,1,1,False,0
B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,16,1,1,False,0
B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,17,1,1,False,0
B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,18,1,1,False,0
B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,19,1,1,False,0
B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,20,1,1,False,0
B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,21,1,1,False,0
B0DBC32C-1BBA-4075-33AE-08DD6DF6DAED,22,1,1,False,0
B26CADE7-1C59-459B-591E-08DD6540AAFA,1,2,1,False,0
B26CADE7-1C59-459B-591E-08DD6540AAFA,2,2,1,False,0
B26CADE7-1C59-459B-591E-08DD6540AAFA,3,2,1,False,0
B26CADE7-1C59-459B-591E-08DD6540AAFA,4,2,1,False,0
B26CADE7-1C59-459B-591E-08DD6540AAFA,5,2,1,False,0
B26CADE7-1C59-459B-591E-08DD6540AAFA,6,2,1,False,1
B26CADE7-1C59-459B-591E-08DD6540AAFA,7,2,1,False,0
B26CADE7-1C59-459B-591E-08DD6540AAFA,8,2,1,False,0
B26CADE7-1C59-459B-591E-08DD6540AAFA,9,2,1,False,0
B26CADE7-1C59-459B-591E-08DD6540AAFA,10,2,1,False,0
B26CADE7-1C59-459B-591E-08DD6540AAFA,11,2,1,False,1
B26CADE7-1C59-459B-591E-08DD6540AAFA,12,2,1,False,0
B26CADE7-1C59-459B-591E-08DD6540AAFA,13,2,1,False,0
B26CADE7-1C59-459B-591E-08DD6540AAFA,14,2,1,False,0
B26CADE7-1C59-459B-591E-08DD6540AAFA,15,2,1,False,0
B26CADE7-1C59-459B-591E-08DD6540AAFA,16,2,1,False,0
B26CADE7-1C59-459B-591E-08DD6540AAFA,17,2,1,False,0
B26CADE7-1C59-459B-591E-08DD6540AAFA,18,2,1,False,0
B26CADE7-1C59-459B-591E-08DD6540AAFA,19,2,1,False,0
B26CADE7-1C59-459B-591E-08DD6540AAFA,20,2,1,False,0
B26CADE7-1C59-459B-591E-08DD6540AAFA,21,2,1,False,0
B26CADE7-1C59-459B-591E-08DD6540AAFA,22,2,1,False,0
7828EA1E-332F-44EE-960A-08DD17656FFB,1,2,1,False,0
7828EA1E-332F-44EE-960A-08DD17656FFB,2,2,1,False,0
7828EA1E-332F-44EE-960A-08DD17656FFB,3,2,1,False,0
7828EA1E-332F-44EE-960A-08DD17656FFB,4,2,1,False,0
7828EA1E-332F-44EE-960A-08DD17656FFB,5,2,1,False,0
7828EA1E-332F-44EE-960A-08DD17656FFB,6,2,1,False,0
7828EA1E-332F-44EE-960A-08DD17656FFB,7,2,1,False,0
7828EA1E-332F-44EE-960A-08DD17656FFB,8,2,1,False,0
7828EA1E-332F-44EE-960A-08DD17656FFB,9,2,1,False,0
7828EA1E-332F-44EE-960A-08DD17656FFB,10,2,1,False,0
7828EA1E-332F-44EE-960A-08DD17656FFB,11,2,1,False,0
7828EA1E-332F-44EE-960A-08DD17656FFB,12,2,1,False,0
7828EA1E-332F-44EE-960A-08DD17656FFB,13,2,1,False,0
7828EA1E-332F-44EE-960A-08DD17656FFB,14,2,1,False,0
7828EA1E-332F-44EE-960A-08DD17656FFB,15,2,1,False,1
7828EA1E-332F-44EE-960A-08DD17656FFB,16,2,1,False,0
7828EA1E-332F-44EE-960A-08DD17656FFB,17,2,1,False,0
7828EA1E-332F-44EE-960A-08DD17656FFB,18,2,1,False,0
7828EA1E-332F-44EE-960A-08DD17656FFB,19,2,1,False,0
7828EA1E-332F-44EE-960A-08DD17656FFB,20,2,1,False,0
7828EA1E-332F-44EE-960A-08DD17656FFB,21,2,1,False,0
7828EA1E-332F-44EE-960A-08DD17656FFB,22,2,1,False,0
3E1F785D-7233-4302-9607-08DD17656FFB,1,0,2,True,0
3E1F785D-7233-4302-9607-08DD17656FFB,2,0,2,True,0
3E1F785D-7233-4302-9607-08DD17656FFB,3,0,2,True,0
3E1F785D-7233-4302-9607-08DD17656FFB,4,0,2,True,0
3E1F785D-7233-4302-9607-08DD17656FFB,5,0,2,True,0
3E1F785D-7233-4302-9607-08DD17656FFB,6,0,2,True,0
